stationName,stationLngGcj02,stationLatGcj02,fastCnt,slowCnt,freeCnt,fastFreeCnt,electricityFeeBigDecimal
悦景苑,116.407246,39.702701,0,3,2,0,1.27
北京市大兴区长子营镇赵县营村公共充电站,116.566841,39.688102,8,0,7,7,1.45
北京市大兴区长子营镇文化活动中心公共充电站,116.579206,39.685553,8,0,8,8,1.45
北京市房山区百草畔自然风景区充电站,115.629074,39.7894,4,0,4,4,1.45
北京市房山区韩村河附属门诊楼充电站,115.914842,39.622877,8,0,8,8,1.45
北京市房山区周口店文化广场公共充电站,115.946409,39.681727,8,0,6,6,1.45
京西速电超充站·城关九洲（统建统服） ,115.98365,39.689709,28,0,19,19,0.99
北京市房山区四中家属楼D区公共充电站,115.979425,39.691296,2,4,5,2,1.45
华冠欢乐城,115.986851,39.692552,0,4,4,0,2.26
槠榆树小区17号楼,115.987868,39.696496,0,6,6,0,2.26
槠榆树西路10号院,115.989075,39.698983,0,6,0,0,2.26
康乐园,116.068879,39.666756,0,12,12,0,1.96
北京房山窦店村东北重汽车充电站,116.072526,39.639569,12,0,5,5,0.99
城建琨廷（怡景嘉园）,116.067813,39.673862,0,12,10,0,1.96
城建琨廷公租房（怡景嘉园二期）,116.06955,39.674216,0,8,8,0,1.80
【内部专用】星星充电-房山-良乡监狱二期,116.118495,39.696021,6,0,5,5,1.00
京西速电液冷超充·良乡鲁村,116.149963,39.704935,14,0,7,7,0.93
北京阜盛液冷超充站,116.195039,39.711937,24,0,13,13,0.87
北京市大兴区太阳大地充电站,116.305825,39.685137,28,0,3,3,0.98
保利春天里,116.321771,39.673219,0,12,12,0,1.96
保利熙兆大厦,116.319096,39.674887,0,12,11,0,1.96
【内部专用】星星充电-大兴-北京市女子监狱充电站,116.329227,39.679032,1,14,9,1,1.10
中机金和-黑色金属2期,116.347169,39.685482,24,0,16,16,1.24
北京大兴首创悦都汇充电站,116.404537,39.702482,17,0,6,6,1.09
北京市亦庄开发区融兴南二街充电站,116.501025,39.717898,3,0,1,1,1.45
北京市大兴区长子营镇政府公共充电站,116.595072,39.685011,8,0,7,7,1.45
北京市大兴区留民营公共充电站,116.572183,39.699749,8,0,8,8,1.45
育新花园中里,116.63716,39.659133,0,6,6,0,1.67
育新花园北里,116.63608,39.662544,0,6,5,0,1.67
北京市通州区西集何各庄公共充电站,116.853221,39.790353,8,0,7,7,1.45
北京市通州区西集安全教育基地公共充电站,116.879635,39.815762,5,0,4,4,1.45
【内部专用】星星充电-通州-北汽动力总成有限公司充电站,116.876177,39.813159,10,0,5,5,0.00
北京市房山区饶乐府地铁站公共充电站,116.006001,39.701524,4,0,4,4,1.45
星星充电-房山区-信息大学充电站,116.066034,39.69063,26,0,22,22,1.30
星星充电-绿色慧联交付中心充电站,116.124803,39.69764,1,0,0,0,1.70
北京房山区核原科电充电站,116.148004,39.710231,6,0,6,6,1.22
恒大滨河左岸南区,116.152095,39.71531,0,12,12,0,1.76
【内部专用】星星充电-房山-北京工商大学(良乡校区)充电站,116.15958,39.718436,4,20,17,4,1.00
北京市大兴区后辛庄村充电站,116.279829,39.721028,8,0,4,4,1.45
北京珺悦国际充电站,116.315,39.6862,6,18,20,4,1.57
北京大兴融汇充电站,116.322863,39.678381,4,0,3,3,1.14
【悦来电】北京大兴金科嘉苑充电站,116.323508,39.682811,5,0,3,3,1.03
宏大伟业物流园停车场,116.348282,39.693217,0,12,10,0,2.06
北京市大兴区魏善庄古老月季园公共充电站,116.422124,39.668796,8,0,6,6,1.45
特来电北京首地浣溪谷充电站,116.402527,39.706897,4,8,12,4,2.00
星星充电-大兴-格林云墅充电站,116.40393,39.70863,8,0,5,5,1.64
